5.3713 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
79.2411 	EXP 	fixation: autoDraw = True
79.2411 	EXP 	grating: autoDraw = True
79.5411 	EXP 	grating: autoDraw = False
79.9114 	DATA 	Keypress: down
80.2412 	EXP 	fixation: autoDraw = False
80.2460 	EXP 	New trial (rep=55, index=0): None
80.2579 	EXP 	fixation: autoDraw = False
80.2579 	EXP 	grating: autoDraw = False
80.2579 	EXP 	grating: ori = -5.0
80.2579 	EXP 	fixation: autoDraw = True
80.2579 	EXP 	grating: autoDraw = True
80.5575 	EXP 	grating: autoDraw = False
80.8776 	DATA 	Keypress: up
81.2574 	EXP 	fixation: autoDraw = False
81.2627 	EXP 	New trial (rep=56, index=0): None
81.2740 	EXP 	fixation: autoDraw = False
81.2740 	EXP 	grating: autoDraw = False
81.2740 	EXP 	grating: ori = 0.0
81.2740 	EXP 	fixation: autoDraw = True
81.2740 	EXP 	grating: autoDraw = True
81.5741 	EXP 	grating: autoDraw = False
81.7112 	DATA 	Keypress: down
82.2738 	EXP 	fixation: autoDraw = False
82.2783 	EXP 	New trial (rep=57, index=0): None
82.2905 	EXP 	fixation: autoDraw = False
82.2905 	EXP 	grating: autoDraw = False
82.2905 	EXP 	grating: ori = 0.0
82.2905 	EXP 	fixation: autoDraw = True
82.2905 	EXP 	grating: autoDraw = True
82.5908 	EXP 	grating: autoDraw = False
82.8771 	DATA 	Keypress: up
83.2906 	EXP 	fixation: autoDraw = False
83.2952 	EXP 	New trial (rep=58, index=0): None
83.3072 	EXP 	fixation: autoDraw = False
83.3072 	EXP 	grating: autoDraw = False
83.3072 	EXP 	grating: ori = 0.0
83.3072 	EXP 	fixation: autoDraw = True
83.3072 	EXP 	grating: autoDraw = True
83.6072 	EXP 	grating: autoDraw = False
83.8271 	DATA 	Keypress: up
84.3077 	EXP 	fixation: autoDraw = False
84.3123 	EXP 	New trial (rep=59, index=0): None
84.3237 	EXP 	fixation: autoDraw = False
84.3237 	EXP 	grating: autoDraw = False
84.3237 	EXP 	grating: ori = 0.0
84.3237 	EXP 	fixation: autoDraw = True
84.3237 	EXP 	grating: autoDraw = True
84.6238 	EXP 	grating: autoDraw = False
84.6271 	DATA 	Keypress: up
85.3235 	EXP 	fixation: autoDraw = False
